Date,Initial_Concentration_(gpl),Final_Concentration_(gpl),,,,,,
20-07-2024,0.17,0.310,,,,,,
21-07-2024,0.25,0.311,,,,,,
22-07-2024,0.24,0.316,,,,,,
23-07-2024,0.23,0.299,,,,,,
24-07-2024,0.27,0.307,,,,,,
25-07-2024,0.21,0.310,,,,,,
26-07-2024,0.21,0.315,,,,,,
27-07-2024,0.21,0.318,,,,,,
28-07-2024,0.27,0.313,,,,,,
29-07-2024,0.19,0.308,,,,,,
30-07-2024,0.19,0.273,,,,,,
31-07-2024,0.17,0.284,,,,,,
01-08-2024,0.15,0.291,,,,,,
02-08-2024,0.18,0.274,,,,,,
03-08-2024,0.19,0.288,,,,,,
04-08-2024,0.2,0.291,,,,,,
05-08-2024,0.27,0.291,,,,,,
06-08-2024,0.22,0.299,,,,,,
07-08-2024,0.22,0.293,,,,,,
08-08-2024,0.2,0.297,,,,,,
09-08-2024,0.18,0.304,,,,,,
10-08-2024,0.2,0.294,,,,,,
11-08-2024,0.2,0.290,,,,,,
12-08-2024,0.2,0.287,,,,,,
13-08-2024,0.2,0.282,,,,,,
14-08-2024,0.2,0.291,,,,,,
15-08-2024,0.2,0.295,,,,,,
16-08-2024,0.2,0.308,,,,,,
17-08-2024,0.21,0.313,,,,,,
18-08-2024,0.2,0.310,,,,,,
19-08-2024,0.24,0.320,,,,,,
20-08-2024,0.22,0.320,,,,,,
21-08-2024,0.23,0.330,,,,,,
22-08-2024,0.23,0.330,,,,,,
23-08-2024,0.24,0.350,,,,,,
24-08-2024,0.24,0.370,,,,,,
25-08-2024,0.24,0.340,,,,,,
26-08-2024,,0.250,,,,,,
27-08-2024,,0.240,,,,,,
28-08-2024,,0.200,,,,,,
29-08-2024,,0.180,,,,,,
30-08-2024,,0.180,,,,,,
31-08-2024,,0.190,,,,,,
01-09-2024,,0.193,,,,,,
02-09-2024,0.23,0.194,,,,,,
03-09-2024,0.16,0.206,,,,,,
04-09-2024,,0.216,,,,,,
05-09-2024,,0.222,,,,,,
06-09-2024,,0.230,,,,,,
07-09-2024,,0.236,,,,,,
08-09-2024,,0.244,,,,,,
09-09-2024,,0.238,,,,,,
10-09-2024,,0.243,,,,,,
11-09-2024,,0.232,,,,,,
12-09-2024,0.14,0.228,,,,,,
13-09-2024,0.11,0.224,,,,,,
14-09-2024,0.14,0.215,,,,,,
15-09-2024,0.13,0.222,,,,,,
16-09-2024,0.12,0.223,,,,,,
17-09-2024,0.12,0.227,,,,,,
18-09-2024,0.12,0.228,,,,,,
19-09-2024,0.12,0.239,,,,,,
20-09-2024,0.12,0.248,,,,,,
21-09-2024,0.12,0.261,,,,,,
22-09-2024,0.13,0.273,,,,,,
23-09-2024,0.15,0.271,,,,,,
24-09-2024,0.14,0.273,,,,,,
25-09-2024,0.12,0.284,,,,,,
26-09-2024,0.12,0.298,,,,,,
27-09-2024,0.14,0.309,,,,,,
28-09-2024,0.14,0.285,,,,,,
29-09-2024,0.13,0.297,,,,,,
30-09-2024,0.16,0.307,,,,,,
01-10-2024,0.17,0.314,,,,,,
02-10-2024,0.17,0.312,,,,,,
03-10-2024,0.16,0.314,,,,,,
04-10-2024,0.15,0.306,,,,,,
05-10-2024,0.17,0.302,,,,,,
06-10-2024,0.17,0.305,,,,,,
07-10-2024,0.2,0.308,,,,,,
08-10-2024,0.14,0.313,,,,,,
09-10-2024,0.14,0.312,,,,,,
10-10-2024,0.13,0.307,,,,,,
11-10-2024,0.12,0.310,,,,,,
12-10-2024,0.14,0.309,,,,,,
13-10-2024,0.15,0.327,,,,,,
14-10-2024,0.15,0.335,,,,,,
15-10-2024,0.14,0.342,,,,,,
16-10-2024,0.14,0.337,,,,,,
17-10-2024,0.14,0.331,,,,,,
18-10-2024,0.14,0.330,,,,,,
19-10-2024,0.14,0.324,,,,,,
20-10-2024,0.14,0.326,,,,,,
21-10-2024,0.16,0.333,,,,,,
22-10-2024,0.16,0.327,,,,,,
23-10-2024,0.14,0.333,,,,,,
24-10-2024,0.14,0.335,,,,,,
25-10-2024,0.17,0.334,,,,,,
26-10-2024,0.17,0.331,,,,,,
27-10-2024,0.18,0.336,,,,,,
28-10-2024,0.17,0.336,,,,,,
29-10-2024,0.17,0.337,,,,,,
30-10-2024,0.19,0.335,,,,,,
31-10-2024,0.17,0.335,,,,,,
01-11-2024,0.17,0.344,,,,,,
02-11-2024,0.19,0.344,,,,,,
03-11-2024,0.17,0.337,,,,,,
04-11-2024,0.17,0.334,,,,,,
05-11-2024,0.2,0.331,,,,,,
06-11-2024,0.2,0.330,,,,,,
07-11-2024,0.19,0.324,,,,,,
08-11-2024,0.18,0.328,,,,,,
09-11-2024,0.2,0.310,,,,,,
10-11-2024,0.18,0.311,,,,,,
11-11-2024,0.18,0.311,,,,,,
12-11-2024,0.18,0.313,,,,,,
13-11-2024,0.18,0.310,,,,,,
14-11-2024,0.19,0.314,,,,,,
15-11-2024,0.2,0.316,,,,,,
16-11-2024,0.19,0.317,,,,,,
17-11-2024,0.19,0.323,,,,,,
18-11-2024,0.21,0.324,,,,,,
19-11-2024,0.21,0.336,,,,,,
20-11-2024,0.23,0.338,,,,,,
21-11-2024,0.23,0.325,,,,,,
22-11-2024,0.22,0.333,,,,,,
23-11-2024,0.22,0.325,,,,,,
24-11-2024,0.22,0.322,,,,,,
25-11-2024,0.22,0.324,,,,,,
26-11-2024,0.24,0.327,,,,,,
27-11-2024,0.24,0.335,,,,,,
28-11-2024,0.22,0.323,,,,,,
29-11-2024,0.22,0.322,,,,,,
30-11-2024,0.22,0.325,,,,,,
01-12-2024,0.21,0.328,,,,,,
02-12-2024,0.23,0.327,,,,,,
03-12-2024,0.24,0.326,,,,,,
04-12-2024,0.24,0.325,,,,,,
05-12-2024,0.22,0.330,,,,,,
06-12-2024,0.22,0.325,,,,,,
07-12-2024,0.22,0.326,,,,,,
08-12-2024,0.22,0.321,,,,,,
09-12-2024,,0.323,,,,,,
10-12-2024,,0.321,,,,,,
11-12-2024,,0.330,,,,,,
12-12-2024,0.23,0.320,,,,,,
13-12-2024,0.23,0.320,,,,,,
14-12-2024,0.23,0.325,,,,,,
15-12-2024,0.22,0.327,,,,,,
16-12-2024,0.22,0.329,,,,,,
17-12-2024,0.23,0.328,,,,,,
18-12-2024,0.23,0.335,,,,,,
19-12-2024,0.22,0.330,,,,,,
20-12-2024,0.22,0.330,,,,,,
21-12-2024,0.2,0.330,,,,,,
22-12-2024,0.21,0.320,,,,,,
23-12-2024,0.21,0.320,,,,,,
24-12-2024,0.23,0.320,,,,,,
25-12-2024,0.2,0.310,,,,,,
26-12-2024,0.2,0.310,,,,,,
27-12-2024,0.2,0.310,,,,,,
28-12-2024,0.19,0.300,,,,,,
29-12-2024,0.19,0.310,,,,,,
30-12-2024,0.21,0.300,,,,,,
31-12-2024,0.21,0.300,,,,,,
